Datum;Verbrauch
25.1.2023, 17:30;1,375
25.1.2023, 17:45;1,2
25.1.2023, 18:00;1,056
25.1.2023, 18:15;1,25
25.1.2023, 18:30;1,369
25.1.2023, 18:45;1,325
25.1.2023, 19:00;1,163
25.1.2023, 19:15;0,975
25.1.2023, 19:30;1,206
25.1.2023, 19:45;0,981
25.1.2023, 20:00;1,125
25.1.2023, 20:15;0,994
25.1.2023, 20:30;0,806
25.1.2023, 20:45;0,969
25.1.2023, 21:00;0,763
25.1.2023, 21:15;0,869
25.1.2023, 21:30;0,931
25.1.2023, 21:45;0,75
25.1.2023, 22:00;0,794
25.1.2023, 22:15;0,594
25.1.2023, 22:30;0,606
25.1.2023, 22:45;0,787
25.1.2023, 23:00;0,606
25.1.2023, 23:15;0,787
25.1.2023, 23:30;0,606
25.1.2023, 23:45;0,669
26.1.2023, 00:00;0,769
26.1.2023, 00:15;0,606
26.1.2023, 00:30;0,794
26.1.2023, 00:45;0,638
26.1.2023, 01:00;0,606
26.1.2023, 01:15;0,813
26.1.2023, 01:30;0,594
26.1.2023, 01:45;0,7
26.1.2023, 02:00;0,7
26.1.2023, 02:15;0,612
26.1.2023, 02:30;0,788
26.1.2023, 02:45;0,637
26.1.2023, 03:00;0,713
26.1.2023, 03:15;0,675
26.1.2023, 03:30;0,613
26.1.2023, 03:45;0,756
26.1.2023, 04:00;0,575
26.1.2023, 04:15;0,75
26.1.2023, 04:30;0,644
26.1.2023, 04:45;0,775
26.1.2023, 05:00;1,15
26.1.2023, 05:15;0,856
26.1.2023, 05:30;0,763
26.1.2023, 05:45;0,806
26.1.2023, 06:00;0,725
26.1.2023, 06:15;1,313
26.1.2023, 06:30;1,319
26.1.2023, 06:45;1,419
26.1.2023, 07:00;1,869
26.1.2023, 07:15;2,6
26.1.2023, 07:30;2,825
26.1.2023, 07:45;2,969
26.1.2023, 08:00;3,369
26.1.2023, 08:15;3,656
26.1.2023, 08:30;2,994
26.1.2023, 08:45;2,681
26.1.2023, 09:00;2,931
26.1.2023, 09:15;3,131
26.1.2023, 09:30;3,269
26.1.2023, 09:45;4,056
26.1.2023, 10:00;4,419
26.1.2023, 10:15;4,606
26.1.2023, 10:30;3,819
26.1.2023, 10:45;3,475
26.1.2023, 11:00;3,519
26.1.2023, 11:15;3,238
26.1.2023, 11:30;3,2
26.1.2023, 11:45;3,325
26.1.2023, 12:00;3,294
26.1.2023, 12:15;2,869
26.1.2023, 12:30;2,644
26.1.2023, 12:45;2,575
26.1.2023, 13:00;2,556
26.1.2023, 13:15;2,737
26.1.2023, 13:30;2,725
26.1.2023, 13:45;2,794
26.1.2023, 14:00;2,806
26.1.2023, 14:15;2,656
26.1.2023, 14:30;2,337
26.1.2023, 14:45;2,731
26.1.2023, 15:00;2,131
26.1.2023, 15:15;1,831
